Rank  Model                              Precision  Recall  F1      P@R.95  P@R.98  P@R.99  Image FPR  Mean FP/frame  Params(M)  GFLOPs  Latency(ms)  GPU(MB)  Input
----  ---------------------------------  ---------  ------  ------  ------  ------  ------  ---------  -------------  ---------  ------  -----------  -------  -----
1     lwdetr-small-paper                 0.9060     0.8625  0.8837  0.4844  0.1523  0.0798  0.0871     0.09           14.23      110.2   13.69        160      1024 
2     rfdetr-nano                        0.9226     0.8459  0.8826  0.5700  0.3533  0.2098  0.0394     0.04           31.50      328.7   15.05        300      1024 
3     lwdetr-tiny-paper-full             0.9314     0.8331  0.8795  0.3394  0.1431  0.0736  0.0909     0.09           11.73      78.0    11.86        138      1024 
4     yolo11s-nimble-narwhal-v6.0.0      0.8526     0.8913  0.8715  0.5392  -       -       0.1250     0.14           9.43       55.3    3.04         219      1024 
5     yolo11s-sensitive-detector-v1.1.0  0.8782     0.8574  0.8677  0.5650  -       -       0.2583     0.29           9.43       55.3    3.03         219      1024 
6     deimv2-s                           0.8628     0.8645  0.8636  0.4676  0.1472  0.0530  0.0652     0.07           9.66       49.3    8.45         100      640  
7     yolo11s-rapid-raccoon-v8.1.0       0.8814     0.8414  0.8610  0.5079  -       -       0.1083     0.11           9.43       55.3    2.98         219      1024 
8     dfine-nano-paper                   0.8781     0.8248  0.8506  -       -       -       0.1121     0.12           3.72       17.9    5.84         142      1024 
9     dfine-small-paper                  0.8933     0.8031  0.8458  -       -       -       0.0803     0.08           10.21      66.4    6.78         297      1024 
10    rtdetrv2-r18-paper                 0.7847     0.8926  0.8352  -       -       -       0.4705     0.77           20.07      153.4   7.09         342      1024 
11    yolo26s-smoke                      0.8324     0.8350  0.8337  -       -       -       0.0606     0.06           9.95       58.4    3.90         221      1024 
12    yolo26n-smoke                      0.8015     0.8465  0.8234  -       -       -       0.1061     0.11           2.50       15.2    3.63         124      1024 
