confidence_threshold,iou_threshold,min_consecutive,num_sequences,num_positive_gt,num_negative_gt,tp,fp,fn,tn,precision,recall,f1,fpr,mean_ttd_seconds,median_ttd_seconds
0.4,0.2,2,2865,1433,1432,1330,290,103,1142,0.821,0.9281,0.8713,0.2025,99.3,19.0
0.4,0.1,2,2865,1433,1432,1331,294,102,1138,0.8191,0.9288,0.8705,0.2053,96.9,18.0
0.3,0.2,2,2865,1433,1432,1364,341,69,1091,0.8,0.9518,0.8693,0.2381,78.0,16.0
0.3,0.1,2,2865,1433,1432,1366,344,67,1088,0.7988,0.9532,0.8692,0.2402,77.1,16.0
0.3,0.1,3,2865,1433,1432,1304,265,129,1167,0.8311,0.91,0.8688,0.1851,121.8,30.0
0.2,0.1,3,2865,1433,1432,1330,299,103,1133,0.8165,0.9281,0.8687,0.2088,107.8,30.0
0.25,0.1,3,2865,1433,1432,1317,283,116,1149,0.8231,0.9191,0.8684,0.1976,111.5,30.0
0.4,0.3,2,2865,1433,1432,1320,288,113,1144,0.8209,0.9211,0.8681,0.2011,102.2,20.0
0.25,0.2,3,2865,1433,1432,1311,280,122,1152,0.824,0.9149,0.8671,0.1955,115.4,31.0
0.2,0.2,3,2865,1433,1432,1323,296,110,1136,0.8172,0.9232,0.867,0.2067,111.0,31.0
0.3,0.3,2,2865,1433,1432,1356,339,77,1093,0.8,0.9463,0.867,0.2367,83.5,19.0
0.25,0.1,2,2865,1433,1432,1374,363,59,1069,0.791,0.9588,0.8669,0.2535,67.4,16.0
0.25,0.2,2,2865,1433,1432,1371,360,62,1072,0.792,0.9567,0.8666,0.2514,69.2,16.0
0.3,0.2,3,2865,1433,1432,1296,264,137,1168,0.8308,0.9044,0.866,0.1844,122.4,31.0
0.4,0.4,2,2865,1433,1432,1307,282,126,1150,0.8225,0.9121,0.865,0.1969,105.3,20.0
0.25,0.3,2,2865,1433,1432,1364,357,69,1075,0.7926,0.9518,0.8649,0.2493,75.7,17.0
0.25,0.1,4,2865,1433,1432,1256,217,177,1215,0.8527,0.8765,0.8644,0.1515,159.8,53.0
0.2,0.1,2,2865,1433,1432,1383,386,50,1046,0.7818,0.9651,0.8638,0.2696,61.7,16.0
0.2,0.2,2,2865,1433,1432,1381,384,52,1048,0.7824,0.9637,0.8637,0.2682,64.4,16.0
0.2,0.1,4,2865,1433,1432,1269,237,164,1195,0.8426,0.8856,0.8636,0.1655,155.8,53.0
0.3,0.4,2,2865,1433,1432,1342,333,91,1099,0.8012,0.9365,0.8636,0.2325,86.8,20.0
0.25,0.2,4,2865,1433,1432,1248,212,185,1220,0.8548,0.8709,0.8628,0.148,163.9,57.0
0.2,0.3,2,2865,1433,1432,1375,381,58,1051,0.783,0.9595,0.8623,0.2661,70.9,19.0
0.25,0.4,2,2865,1433,1432,1353,352,80,1080,0.7935,0.9442,0.8623,0.2458,81.2,19.0
0.2,0.3,3,2865,1433,1432,1307,293,126,1139,0.8169,0.9121,0.8619,0.2046,115.8,31.0
0.4,0.1,3,2865,1433,1432,1254,223,179,1209,0.849,0.8751,0.8619,0.1557,143.1,31.0
0.25,0.3,3,2865,1433,1432,1294,276,139,1156,0.8242,0.903,0.8618,0.1927,119.9,31.0
0.3,0.1,4,2865,1433,1432,1236,201,197,1231,0.8601,0.8625,0.8613,0.1404,160.8,53.0
0.2,0.4,2,2865,1433,1432,1365,374,68,1058,0.7849,0.9525,0.8607,0.2612,76.5,20.0
0.3,0.3,3,2865,1433,1432,1279,260,154,1172,0.8311,0.8925,0.8607,0.1816,126.6,31.0
0.2,0.2,4,2865,1433,1432,1258,233,175,1199,0.8437,0.8779,0.8605,0.1627,159.4,57.0
0.2,0.4,3,2865,1433,1432,1293,280,140,1152,0.822,0.9023,0.8603,0.1955,131.8,37.0
0.25,0.4,3,2865,1433,1432,1280,264,153,1168,0.829,0.8932,0.8599,0.1844,134.7,37.0
0.4,0.2,3,2865,1433,1432,1247,221,186,1211,0.8495,0.8702,0.8597,0.1543,142.9,31.0
0.3,0.2,4,2865,1433,1432,1228,199,205,1233,0.8605,0.8569,0.8587,0.139,162.3,55.0
0.3,0.4,3,2865,1433,1432,1265,249,168,1183,0.8355,0.8828,0.8585,0.1739,140.6,37.0
